code,name,short_name,source,as_of,status,n_items,n_selling
00080008,미래에셋자산운용,미래에셋,금융투자협회 회원사 코드,2026-08-22,confirmed,4536,2306
00040011,멀티에셋자산운용,멀티에셋,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,1546,4
00040010,삼성자산운용,삼성,금융투자협회 회원사 코드,2026-08-22,confirmed,1297,903
00040024,한국투자신탁운용,한국투자,금융투자협회 회원사 코드,2026-08-22,confirmed,1031,562
00040067,신한자산운용,신한,금융투자협회 회원사 코드,2026-08-22,confirmed,884,451
00040035,KB자산운용,KB,금융투자협회 회원사 코드,2026-08-22,confirmed,849,671
00040007,우리자산운용,우리,금융투자협회 회원사 코드,2026-08-22,confirmed,776,420
00040027,한화자산운용,한화,금융투자협회 회원사 코드,2026-08-22,confirmed,641,339
00080013,다올자산운용,다올,금융투자협회 회원사 코드,2026-08-22,confirmed,638,148
00040018,브이아이자산운용,브이아이,금융투자협회 회원사 코드,2026-08-22,confirmed,582,132
00080052,키움투자자산운용,키움,금융투자협회 회원사 코드,2026-08-22,confirmed,566,353
00040021,흥국자산운용,흥국,금융투자협회 회원사 코드,2026-08-22,confirmed,532,124
00040006,DB자산운용,DB,금융투자협회 회원사 코드,2026-08-22,confirmed,473,191
00040040,NH-Amundi자산운용,NH,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측); 구값 '엔에이치아문디자산운용'(금융투자협회 회원사 코드) 정정,2026-08-22,confirmed,437,316
00040026,유진자산운용,유진,금융투자협회 회원사 코드,2026-08-22,confirmed,431,48
00040001,교보악사자산운용,교보악사,금융투자협회 회원사 코드,2026-08-22,confirmed,398,147
00080010,유리자산운용,유리,금융투자협회 회원사 코드,2026-08-22,confirmed,379,115
00040005,하나자산운용,하나,금융투자협회 회원사 코드,2026-08-22,confirmed,351,155
00040087,케이씨지아이자산운용,케이씨지아이,금융투자협회 회원사 코드,2026-08-22,confirmed,322,140
00080017,유경PSG자산운용,유경,금융투자협회 회원사 코드,2026-08-22,confirmed,309,37
00080029,피델리티자산운용,피델리티,금융투자협회 회원사 코드,2026-08-22,confirmed,296,246
00040038,카디안자산운용,카디안,금융투자협회 회원사 코드,2026-08-22,confirmed,292,130
00080018,플러스자산운용,플러스,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,291,17
00080035,iM에셋자산운용,iM에셋,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측); 구값 '아이엠에셋자산운용'(금융투자협회 회원사 코드) 정정,2026-08-22,confirmed,289,244
00080005,마이다스에셋자산운용,마이다스,금융투자협회 회원사 코드,2026-08-22,confirmed,261,225
00040016,HDC자산운용,HDC,금융투자협회 회원사 코드,2026-08-22,confirmed,242,33
00040004,대신자산운용,대신,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,216,29
00040014,신영자산운용,신영,금융투자협회 회원사 코드,2026-08-22,confirmed,207,137
00080043,트러스톤자산운용,트러스톤,금융투자협회 회원사 코드,2026-08-22,confirmed,203,161
00080087,브이자산운용,브이,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,191,27
00080022,아이비케이자산운용,IBK,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측); 구값 'IBK자산운용'(금융투자협회 회원사 코드) 정정,2026-08-22,confirmed,187,116
00080006,코레이트자산운용,코레이트,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,158,27
00080032,현대인베스트먼트자산운용,현대,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측); 구값 '현대자산운용'(금융투자협회 회원사 코드) 정정,2026-08-22,confirmed,131,48
00080019,베어링자산운용,베어링,금융투자협회 회원사 코드,2026-08-22,confirmed,118,76
00080119,,타임폴리오,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,115,99
00080042,AB자산운용,AB,금융투자협회 회원사 코드,2026-08-22,confirmed,104,77
00080086,에셋플러스자산운용,에셋플러스,금융투자협회 회원사 코드,2026-08-22,confirmed,103,95
00040013,키움투자자산운용,키움투자,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,102,46
00080162,디에스자산운용,디에스,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,84,61
00080021,한국투자밸류자산운용,한국밸류,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측); 구값 '한국밸류자산운용'(금융투자협회 회원사 코드) 정정,2026-08-22,confirmed,82,76
00080159,베어링자산운용,베어링,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,81,56
00080031,알파자산운용,알파,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,77,14
00080033,BNK자산운용,BNK,금융투자협회 회원사 코드,2026-08-22,confirmed,77,55
00080127,머스트자산운용,머스트,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,74,67
00080135,삼성액티브자산운용,삼성액티브,금융투자협회 회원사 코드,2026-08-22,confirmed,69,58
00040023,우리글로벌자산운용,우리글로벌,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,69,0
00080016,칸서스자산운용,칸서스,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,64,14
00080182,,교보증권,종목명 접두 최빈값 (점유 60%) — 법인명 아님,2026-08-22,derived,62,2
